iter	Logloss
0	0.6804168126
1	0.665315595
2	0.6559388144
3	0.6426918869
4	0.631737252
5	0.6200879588
6	0.6084907642
7	0.5986119844
8	0.5857274775
9	0.5756777503
10	0.5649944652
11	0.5566172477
12	0.5471312174
13	0.5384651367
14	0.5293179197
15	0.5213799561
16	0.5137215102
17	0.5078605821
18	0.5024004226
19	0.4960704874
20	0.4871540781
21	0.4768972889
22	0.4697364463
23	0.4610848484
24	0.4540384622
25	0.4470766582
26	0.4389325931
27	0.4329242728
28	0.4274453715
29	0.4223871064
30	0.4170237628
31	0.4121868965
32	0.4038617569
33	0.3980431696
34	0.3897498159
35	0.3851861038
36	0.3818475572
37	0.3782934131
38	0.3697640334
39	0.3668921708
40	0.3594084214
41	0.3556191192
42	0.349494203
43	0.3452812347
44	0.3388814673
45	0.3365395009
46	0.3334457919
47	0.3300276494
48	0.3276950473
49	0.3239264621
50	0.3214598697
51	0.3194198972
52	0.3134637273
53	0.3080394051
54	0.3055156425
55	0.3032601936
56	0.2991304437
57	0.2973214894
58	0.2954381143
59	0.2915362132
60	0.2900063325
61	0.2872014809
62	0.2857826635
63	0.2839280609
64	0.282479119
65	0.2807155704
66	0.2791745764
67	0.277380982
68	0.2758956865
69	0.2745584015
70	0.2728737878
71	0.2703441098
72	0.2693967474
73	0.2673441959
74	0.264375273
75	0.2621887956
76	0.2604071807
77	0.2595151944
78	0.2586505384
79	0.2571391465
80	0.2562659722
81	0.2555284274
82	0.2545429968
83	0.2539565582
84	0.2532351509
85	0.2522479761
86	0.2516483656
87	0.2497934386
88	0.2487461749
89	0.2479230359
90	0.2460162443
91	0.2438946746
92	0.2429149402
93	0.2416430174
94	0.240828585
95	0.2403060364
96	0.2396186248
97	0.2381553716
98	0.237075763
99	0.236541357
100	0.2359648033
101	0.2348780116
102	0.2340293193
103	0.233548977
104	0.2330008468
105	0.2323497307
106	0.2315648589
107	0.2311311332
108	0.2306385411
109	0.2292368643
110	0.2285631514
111	0.2281643206
112	0.2276839761
113	0.2272454322
114	0.2266543505
115	0.2261740057
116	0.2256029849
117	0.2248855868
118	0.2244816322
119	0.2236876482
120	0.22322313
121	0.2229250554
122	0.2226284994
123	0.2214473829
124	0.220721401
125	0.2199484141
126	0.2190213856
127	0.2186473356
128	0.2181991688
129	0.2177290614
130	0.217411301
131	0.217266313
132	0.2169683651
133	0.2165845983
134	0.2161472575
135	0.2158473551
136	0.2153766339
137	0.2147019544
138	0.2143377685
139	0.2139753169
140	0.2134521752
141	0.2128567439
142	0.2126640422
143	0.2122572979
144	0.2119453887
145	0.2115942414
146	0.2111603888
147	0.2104105712
148	0.2100416845
149	0.2097086564
150	0.2094298072
151	0.2090141606
152	0.2086477823
153	0.208458106
154	0.2082421841
155	0.2072148513
156	0.2068451283
157	0.2066106487
158	0.2062555207
159	0.2060150291
160	0.2058605591
161	0.2054556948
162	0.2053459018
163	0.2051807708
164	0.2049314151
165	0.2046102669
166	0.2043915964
167	0.2042503898
168	0.2037489459
169	0.2033513985
170	0.2027822029
171	0.2024328862
172	0.2020518383
173	0.2018608267
174	0.201518134
175	0.2012782578
176	0.2010049271
177	0.2007853979
178	0.2005351171
179	0.2001503867
180	0.199975827
181	0.199827507
182	0.1995466365
183	0.1988149114
184	0.198631348
185	0.1985197433
186	0.1983796144
187	0.1980015945
188	0.1977328313
189	0.197500659
190	0.1972523567
191	0.1966396871
192	0.1964688843
193	0.1961617465
194	0.1959282056
195	0.1955295118
196	0.1951838997
197	0.1947368808
198	0.1944841565
199	0.1940708485
200	0.1937767814
201	0.1933660069
202	0.19313403
203	0.1928934576
204	0.1924259572
205	0.1922639523
206	0.1920632465
207	0.1918078954
208	0.1914450599
209	0.1912082983
210	0.1911520372
211	0.1908640028
212	0.190655746
213	0.1904527901
214	0.1900565026
215	0.1898580448
216	0.1895814027
217	0.189333987
218	0.1891888257
219	0.1887557102
220	0.1884730774
221	0.1882813896
222	0.1881398356
223	0.1880385898
224	0.1877989564
225	0.1875609046
226	0.187432068
227	0.1873029647
228	0.1869468424
229	0.1868145971
230	0.1866754232
231	0.1866148074
232	0.1864844027
233	0.1861997501
234	0.186025881
235	0.185933072
236	0.1857147161
237	0.1856568603
238	0.1855362811
239	0.1854556787
240	0.1852264171
241	0.1851527086
242	0.1850057916
243	0.184842652
244	0.1847341688
245	0.1845542761
246	0.1844370818
247	0.1842765198
248	0.184107047
249	0.1840011975
250	0.1838150751
251	0.1835506199
252	0.1832186721
253	0.1830308378
254	0.1828494444
255	0.1826067235
256	0.1824587426
257	0.1822795248
258	0.1820291639
259	0.1817709066
260	0.1816001492
261	0.1814782895
262	0.1813864383
263	0.1812322685
264	0.1811155357
265	0.1808924514
266	0.1807106131
267	0.1806951554
268	0.1803455747
269	0.1801520899
270	0.179922965
271	0.1797131458
272	0.1794939286
273	0.1792959527
274	0.1792016629
275	0.1790307926
276	0.1789026709
277	0.1787885686
278	0.1786323692
279	0.1784906589
280	0.1783846115
281	0.1781402379
282	0.1778505548
283	0.1776344324
284	0.1773939558
285	0.1771598959
286	0.1768106622
287	0.1767041249
288	0.1764975549
289	0.1763313827
290	0.1760653938
291	0.1758792465
292	0.1757322779
293	0.1754342203
294	0.1752562834
295	0.1751331178
296	0.1749931794
297	0.1748128646
298	0.1746922647
299	0.1746146793
300	0.1745340272
301	0.174266959
302	0.1741866338
303	0.1740363597
304	0.1738631162
305	0.1736383808
306	0.1734172997
307	0.1732980773
308	0.173059692
309	0.1729806772
310	0.1726429276
311	0.1725217122
312	0.1724475407
313	0.1723801924
314	0.1721890274
315	0.1720393284
316	0.1719296443
317	0.1718092249
318	0.1715230919
319	0.1712884971
320	0.1710817909
321	0.1709344122
322	0.1707407437
323	0.1705977136
324	0.1703621457
325	0.1701939497
326	0.170067535
327	0.1698353097
328	0.1697752348
329	0.1696409618
330	0.1695316815
331	0.1692293046
332	0.1691263126
333	0.1690207898
334	0.1688767924
335	0.1687152729
336	0.1684812226
337	0.16837317
338	0.1680807584
339	0.1679873573
340	0.1678110783
341	0.167644156
342	0.1674429861
343	0.1672525648
344	0.1670953132
345	0.1669693733
346	0.1668602649
347	0.1666949426
348	0.1664264713
349	0.1663364589
350	0.1662420847
351	0.1661709741
352	0.1660228314
353	0.1659447458
354	0.1658831977
355	0.1657461768
356	0.1655084049
357	0.1653952109
358	0.1652637757
359	0.1651936898
360	0.1650291488
361	0.1649590493
362	0.1648208523
363	0.1646980638
364	0.1645905223
365	0.1643790813
366	0.1642710493
367	0.1642066642
368	0.1641006471
369	0.1638800823
370	0.163794141
371	0.1636420699
372	0.1635106686
373	0.1632675066
374	0.1630632454
375	0.1629167466
376	0.1628421569
377	0.1627158622
378	0.1625835104
379	0.1623376506
380	0.1620853818
381	0.1619869387
